dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p5_r10_p0p6_L6_c1_2_test,287.0803266,287.3745477,286.9267125,301.95,305.79,292.95
zinb_pi0p5_r10_p0p4_L6_c1_2_train,639.0411299,639.0386031,636.6794844,645.48,672.98,640.19
zinb_pi0p5_r10_p0p4_L6_c1_2_test,621.0681991,621.9843384,620.3867125,626.26,668.52,624.42
zinb_pi0p5_r10_p0p3_L6_c1_2_train,965.0257009,965.0335334,961.7260149,970.89,1036.64,966.6
zinb_pi0p5_r10_p0p3_L6_c1_2_test,964.5816514,965.0862677,963.5691071,968.8,1041.88,969.85
zinb_pi0p5_r10_p0p2_L6_c1_2_train,1655.874776,1658.235504,1657.59448,1658.37,1838.09,1658.54
zinb_pi0p5_r10_p0p2_L6_c1_2_test,1652.216426,1653.61311,1652.72909,1651.25,1793.16,1653.56
zinb_pi0p5_r10_p0p1_L6_c1_2_train,3678.407727,3679.99878,3679.971955,3680.12,3944.1,3727.89
zinb_pi0p5_r10_p0p1_L6_c1_2_test,3681.058644,3687.012099,3689.154515,3672.21,3977.38,3677.97
zinb_pi0p3_r5_p0p8_L6_c1_2_train,77.03943044,77.04481202,76.96748341,80.59,80.59,87.72
zinb_pi0p3_r5_p0p8_L6_c1_2_test,77.47537567,77.4423134,77.33486605,80.97,80.97,87.76
zinb_pi0p3_r5_p0p6_L6_c1_2_train,171.5572427,171.6119323,171.8072494,194.28,196.03,173.94
zinb_pi0p3_r5_p0p6_L6_c1_2_test,171.9355389,171.981723,172.0118189,192.66,195.41,173.71
zinb_pi0p3_r5_p0p4_L6_c1_2_train,357.1229994,355.5756631,356.0035431,372.55,417.22,357.82
zinb_pi0p3_r5_p0p4_L6_c1_2_test,360.8931169,358.6687839,357.8155338,377.52,419.59,356.53
zinb_pi0p3_r5_p0p3_L6_c1_2_train,534.7072494,534.9639026,534.434702,534.91,631.88,543.48
zinb_pi0p3_r5_p0p3_L6_c1_2_test,535.8562399,536.2638875,535.5535031,535.55,633.67,542.04
zinb_pi0p3_r5_p0p2_L6_c1_2_train,934.8624302,940.9940091,921.7878919,938.22,1110.96,942.18
zinb_pi0p3_r5_p0p2_L6_c1_2_test,902.4069159,905.9210004,903.6660895,910.14,1083.35,907.58
zinb_pi0p3_r5_p0p1_L6_c1_2_train,1962.106183,1962.21231,1962.092842,1962.34,2428.98,1962.34
zinb_pi0p3_r5_p0p1_L6_c1_2_test,1998.983409,1996.194633,1995.530913,1982.11,2409.44,1991.45
zinb_pi0p3_r40_p0p8_L6_c1_2_train,418.7871134,419.0283081,416.5629372,420.58,515.3,427.4
zinb_pi0p3_r40_p0p8_L6_c1_2_test,426.8809001,427.3004036,425.3656433,427.11,524.19,435.24
zinb_pi0p3_r40_p0p6_L6_c1_2_train,1078.167747,1083.224947,1078.65605,1093.96,1338.37,1101.04
zinb_pi0p3_r40_p0p6_L6_c1_2_test,1067.78424,1071.827588,1069.035638,1076.39,1331.48,1078
zinb_pi0p3_r40_p0p4_L6_c1_2_train,2388.784054,2392.889518,2390.586556,2388.66,3025.46,2421.88
zinb_pi0p3_r40_p0p4_L6_c1_2_test,2379.219245,2377.986035,2380.618381,2377.08,2981.97,2409.25
zinb_pi0p3_r40_p0p3_L6_c1_2_train,3569.973924,3569.856367,3559.882222,3578.19,4571.7,3585.16
zinb_pi0p3_r40_p0p3_L6_c1_2_test,3637.422198,3631.326531,3623.911223,3639.74,4576.48,3651.38
zinb_pi0p3_r40_p0p2_L6_c1_2_train,6243.545077,6271.684832,6243.162286,6250.84,7921.59,6285.83
zinb_pi0p3_r40_p0p2_L6_c1_2_test,6269.605001,6342.511646,6261.128797,6263.7,7856.2,6343.3
zinb_pi0p3_r40_p0p1_L6_c1_2_train,14224.61026,14239.78704,14217.44259,14222.09,18958.74,14239
zinb_pi0p3_r40_p0p1_L6_c1_2_test,14225.86589,14342.94274,14250.4857,14196.67,18798.45,14338.93
zinb_pi0p3_r20_p0p8_L6_c1_2_train,222.9825196,222.7857533,222.4641267,253.93,271.88,223.73
zinb_pi0p3_r20_p0p8_L6_c1_2_test,228.5617853,228.5791094,227.3883613,254.73,271.4,228.22
zinb_pi0p3_r20_p0p6_L6_c1_2_train,563.6872294,563.3564098,562.3554965,585.52,691.48,564.89
zinb_pi0p3_r20_p0p6_L6_c1_2_test,563.8079234,563.5397523,561.8147672,588.59,691.37,565.88
zinb_pi0p3_r20_p0p4_L6_c1_2_train,1218.280986,1215.751052,1213.353983,1215.4,1532.46,1235.39
zinb_pi0p3_r20_p0p4_L6_c1_2_test,1224.937514,1231.589416,1227.259623,1224.19,1525.97,1234.6
zinb_pi0p3_r20_p0p3_L6_c1_2_train,1888.567152,1885.221359,1880.507181,1891.54,2331.89,1895.68
zinb_pi0p3_r20_p0p3_L6_c1_2_test,1895.352695,1886.539036,1888.193611,1895.83,2356.44,1919.1
zinb_pi0p3_r20_p0p2_L6_c1_2_train,3252.898722,3257.652379,3243.52441,3267.13,4066.07,3274.42
zinb_pi0p3_r20_p0p2_L6_c1_2_test,3224.958303,3216.621185,3208.405847,3193.41,3989.46,3227.64
zinb_pi0p3_r20_p0p1_L6_c1_2_train,7356.460632,7376.422341,7345.090496,7354.69,9127.45,7405.03
zinb_pi0p3_r20_p0p1_L6_c1_2_test,7304.941959,7313.158078,7269.021806,7259.14,9040.37,7318.45
zinb_pi0p3_r2_p0p8_L6_c1_2_train,34.30000115,34.30000122,34.3,34.3,34.3,34.3
