dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
beta_a5_b5_M200_L6_c1_2_test,2287.411688,2287.090665,2280.951016,2298.17,4163.67,2300.65
beta_a5_b5_M20_L6_c1_2_train,226.7789604,227.2107924,226.2852226,241.99,412.78,234.7
beta_a5_b5_M20_L6_c1_2_test,229.5278245,230.7347717,229.043384,247.74,420.14,241.59
beta_a5_b5_M100_L6_c1_2_train,1124.460773,1126.872713,1121.586601,1139.41,2082.39,1129.9
beta_a5_b5_M100_L6_c1_2_test,1139.352683,1144.317321,1137.985914,1146.47,2093.55,1151.51
beta_a5_b2_M500_L6_c1_2_train,6366.554838,6351.113396,6345.137917,6342.99,13503.66,6351.14
beta_a5_b2_M500_L6_c1_2_test,6359.354209,6368.774152,6282.401308,6255.72,13297.86,6356.56
beta_a5_b2_M50_L6_c1_2_train,627.5480599,631.4376089,629.5172914,658.15,1335.6,632.53
beta_a5_b2_M50_L6_c1_2_test,629.9843734,634.9975651,630.6359571,657.38,1326.87,637.35
beta_a5_b2_M200_L6_c1_2_train,2546.973448,2591.992068,2555.381953,2552.7,5344.36,2590.39
beta_a5_b2_M200_L6_c1_2_test,2509.774375,2531.015066,2493.811782,2493.05,5318.29,2525.57
beta_a5_b2_M20_L6_c1_2_train,253.5534892,255.7113023,251.9197528,281.85,530.89,255.86
beta_a5_b2_M20_L6_c1_2_test,257.1956944,258.7887779,252.7761274,286.69,532.02,259.73
beta_a5_b2_M100_L6_c1_2_train,1255.130385,1264.795556,1239.445138,1242.08,2615.19,1263.26
beta_a5_b2_M100_L6_c1_2_test,1276.741222,1278.84492,1259.206412,1260.36,2661.27,1277.76
beta_a5_b10_M500_L6_c1_2_train,4350.397421,4376.765759,4353.426001,4351.72,7419.55,4376.13
beta_a5_b10_M500_L6_c1_2_test,4374.204332,4382.825548,4357.688801,4361.1,7443.45,4382.38
beta_a5_b10_M50_L6_c1_2_train,422.2196374,423.0629472,419.2133473,429.17,735.32,422.87
beta_a5_b10_M50_L6_c1_2_test,436.2202488,457.9877363,440.0589989,442.95,743.71,438.32
beta_a5_b10_M200_L6_c1_2_train,1676.645335,1685.017774,1673.666014,1700.81,2974.54,1681.94
beta_a5_b10_M200_L6_c1_2_test,1744.980107,1769.080777,1732.746015,1743.19,2972.3,1742.38
beta_a5_b10_M20_L6_c1_2_train,172.7119812,173.0110377,172.5449076,194.43,296.52,193.18
beta_a5_b10_M20_L6_c1_2_test,174.7795725,174.5094582,175.2618374,195.45,297.93,194.52
beta_a5_b10_M100_L6_c1_2_train,880.1847512,874.6609588,874.8215214,895.66,1488.31,882.86
beta_a5_b10_M100_L6_c1_2_test,871.6789414,866.5138098,862.0710693,879.03,1484.32,869.83
beta_a5_b1_M500_L6_c1_2_train,5818.873944,5715.8912,5717.483828,5711.55,14177.33,5828.2
beta_a5_b1_M500_L6_c1_2_test,5801.914213,5730.858642,5716.75466,5723.83,14073.2,5841.57
beta_a5_b1_M50_L6_c1_2_train,563.7553465,563.8480905,570.9633427,570.41,1398.64,584.16
beta_a5_b1_M50_L6_c1_2_test,567.4971603,567.3307341,575.7153403,575.22,1400.08,584.97
beta_a5_b1_M200_L6_c1_2_train,2316.671544,2399.384223,2336.50402,2322.33,5619.81,2386.6
beta_a5_b1_M200_L6_c1_2_test,2274.816409,2325.795768,2290.739916,2277.39,5627.68,2322.79
beta_a5_b1_M20_L6_c1_2_train,229.1566291,227.7756498,225.5647346,239.07,565.32,239.43
beta_a5_b1_M20_L6_c1_2_test,235.9832557,236.2473061,232.7260538,240.81,562.33,241.67
beta_a5_b1_M100_L6_c1_2_train,1113.952978,1115.63815,1139.975442,1128.76,2772.64,1140.43
beta_a5_b1_M100_L6_c1_2_test,1131.172691,1132.657332,1154.777006,1148.82,2809.44,1153.63
beta_a5_b0p5_M500_L6_c1_2_train,4725.619309,4859.671388,4742.591393,4723.79,13863.45,4856.04
beta_a5_b0p5_M500_L6_c1_2_test,4631.724611,4748.751459,4637.265757,4618.9,13864.77,4748.93
beta_a5_b0p5_M50_L6_c1_2_train,452.7515497,452.5835696,450.5291639,466.73,1379.13,465.18
beta_a5_b0p5_M50_L6_c1_2_test,469.6667008,470.4594033,470.02037,484.47,1387.36,489.6
beta_a5_b0p5_M200_L6_c1_2_train,1928.467397,1984.178296,1903.248387,1907.05,5542.81,1943.18
beta_a5_b0p5_M200_L6_c1_2_test,1847.860154,1970.052349,1837.644055,1835.12,5530.4,1906.82
beta_a5_b0p5_M20_L6_c1_2_train,188.5169174,190.1619239,188.3031944,240.13,556,196.17
beta_a5_b0p5_M20_L6_c1_2_test,187.8789118,191.3522004,189.291683,240.7,556.69,196.2
beta_a5_b0p5_M100_L6_c1_2_train,915.8211073,920.9144379,916.7989248,935.16,2755.84,973
beta_a5_b0p5_M100_L6_c1_2_test,927.2230142,945.1594665,940.6700084,958.59,2770.36,962.01
beta_a2_b5_M500_L6_c1_2_train,5717.096754,5726.176892,5703.996444,5711.81,8049.26,5731.4
beta_a2_b5_M500_L6_c1_2_test,5694.277803,5705.881172,5688.832726,5700.67,8100.68,5721.79
beta_a2_b5_M50_L6_c1_2_train,562.2474475,561.120616,562.5025592,579.49,804.36,564.98
beta_a2_b5_M50_L6_c1_2_test,577.5563132,579.1434224,576.7103138,587.96,816.44,583.9
beta_a2_b5_M200_L6_c1_2_train,2282.829201,2283.026231,2284.933595,2292,3230.26,2304.24
beta_a2_b5_M200_L6_c1_2_test,2304.836577,2302.685372,2300.199707,2310.2,3244.5,2307.53
beta_a2_b5_M20_L6_c1_2_train,220.9906752,220.8169071,219.7197043,228.32,316.91,222.8
beta_a2_b5_M20_L6_c1_2_test,235.6448101,235.2272605,234.3661075,240.01,329.77,237.82
beta_a2_b5_M100_L6_c1_2_train,1127.916468,1131.240367,1129.340915,1147.55,1614.08,1131.81
beta_a2_b5_M100_L6_c1_2_test,1151.018355,1153.006954,1153.806657,1174.74,1633.21,1154.76
beta_a2_b2_M500_L6_c1_2_train,8430.258956,8573.406021,8426.987577,8425.44,13086.59,8572.27
beta_a2_b2_M500_L6_c1_2_test,8554.78847,8646.632485,8542.687508,8544.43,13179.35,8623.56
beta_a2_b2_M50_L6_c1_2_train,845.9110982,851.7234731,845.2008348,847.4,1291.4,854.68
beta_a2_b2_M50_L6_c1_2_test,850.6525961,855.0944683,849.9589741,851.03,1300.54,858.25
beta_a2_b2_M200_L6_c1_2_train,3344.153507,3355.94258,3347.457809,3346.86,5126.52,3356.38
beta_a2_b2_M200_L6_c1_2_test,3385.439114,3410.845278,3394.303279,3386.76,5190.32,3406.35
beta_a2_b2_M20_L6_c1_2_train,338.9335379,339.1069494,338.6908317,369.49,524.57,339.13
beta_a2_b2_M20_L6_c1_2_test,342.9057066,342.4525393,340.6069285,367.04,518.81,342.08
beta_a2_b2_M100_L6_c1_2_train,1693.392843,1693.761058,1689.696471,1693.46,2570.88,1699.82
beta_a2_b2_M100_L6_c1_2_test,1687.753241,1689.047995,1684.08336,1689.38,2598.12,1695.99
beta_a2_b10_M500_L6_c1_2_train,3605.656559,3610.527159,3599.139214,3605.05,4950.51,3613.69
beta_a2_b10_M500_L6_c1_2_test,3577.635633,3578.807801,3563.3859,3573.49,4935.93,3584.97
beta_a2_b10_M50_L6_c1_2_train,361.487796,360.6944511,360.1650524,387.23,497.2,363.94
beta_a2_b10_M50_L6_c1_2_test,362.2861907,361.5041656,360.8232589,393.31,495.14,361.15
beta_a2_b10_M200_L6_c1_2_train,1463.443276,1463.206281,1460.266162,1466.03,1987.03,1468.03
beta_a2_b10_M200_L6_c1_2_test,1436.081228,1434.194076,1434.137334,1434.26,1979.5,1437.83
beta_a2_b10_M20_L6_c1_2_train,151.5041004,151.3521825,151.235423,183.49,205.01,163.06
beta_a2_b10_M20_L6_c1_2_test,145.7800514,145.5507663,145.2869244,176.59,198.38,156.66
beta_a2_b10_M100_L6_c1_2_train,698.0197679,697.9707296,697.9780095,749.75,988.94,698.1
beta_a2_b10_M100_L6_c1_2_test,729.3170025,728.8208997,728.761082,758.29,993.07,728.15
beta_a2_b1_M500_L6_c1_2_train,9085.538822,9109.2143,9079.005917,9090.56,15534.22,9145.51
beta_a2_b1_M500_L6_c1_2_test,9366.142687,9394.076823,9361.525782,9331.11,15738.54,9464.28
beta_a2_b1_M50_L6_c1_2_train,930.2511067,939.6268227,930.8186472,942.31,1544.25,952.94
beta_a2_b1_M50_L6_c1_2_test,937.799962,943.6458616,933.4647162,947.73,1563.69,946.75
beta_a2_b1_M200_L6_c1_2_train,3699.740595,3707.442944,3683.806043,3692.62,6194.39,3709.15
beta_a2_b1_M200_L6_c1_2_test,3725.074261,3756.936319,3717.284316,3718.42,6229.85,3770.71
beta_a2_b1_M20_L6_c1_2_train,367.7152532,367.0715581,365.9492422,411.29,616.87,370.77
beta_a2_b1_M20_L6_c1_2_test,374.1888431,373.5879812,372.7836527,415.73,623.19,377.22
beta_a2_b1_M100_L6_c1_2_train,1864.648225,1876.85365,1864.240374,1896.97,3101.7,1917.12
beta_a2_b1_M100_L6_c1_2_test,1858.549953,1874.853613,1853.658469,1875.1,3115.09,1882.01
beta_a2_b0p5_M500_L6_c1_2_train,9076.541865,9026.106272,9102.699742,9022.84,16649.34,9338.26
beta_a2_b0p5_M500_L6_c1_2_test,8810.162017,8752.089545,8820.415985,8750.03,16539.05,8939.05
beta_a2_b0p5_M50_L6_c1_2_train,910.4633022,910.4007774,912.7655217,912.8,1676.08,923.1
beta_a2_b0p5_M50_L6_c1_2_test,888.4494171,888.2661275,886.6628543,890.5,1652.87,905.65
beta_a2_b0p5_M200_L6_c1_2_train,3537.629437,3529.163937,3508.388304,3497.41,6527.06,3615.86
beta_a2_b0p5_M200_L6_c1_2_test,3545.426074,3523.300573,3494.530547,3486.64,6566.21,3542.95
beta_a2_b0p5_M20_L6_c1_2_train,367.9653448,359.6079286,353.9728334,358.08,662.21,359.84
beta_a2_b0p5_M20_L6_c1_2_test,363.3798047,357.339578,348.2711875,353.64,662.48,356.18
beta_a2_b0p5_M100_L6_c1_2_train,1709.00064,1707.236554,1713.926534,1728.86,3263.61,1739.02
beta_a2_b0p5_M100_L6_c1_2_test,1741.31331,1741.703856,1742.837194,1759.27,3303.58,1776.44
beta_a10_b5_M500_L6_c1_2_train,4535.944928,4551.69729,4571.315572,4537.61,11127.12,4607.34
beta_a10_b5_M500_L6_c1_2_test,4538.108934,4525.537746,4556.886888,4539.78,11193.34,4574.03
beta_a10_b5_M50_L6_c1_2_train,470.6655606,476.8545131,502.3689684,481.39,1128.66,482.41
beta_a10_b5_M50_L6_c1_2_test,454.2278535,461.5513248,496.4094175,470.22,1115.37,463.16
beta_a10_b5_M200_L6_c1_2_train,1826.248267,1847.740964,1821.375221,1839.7,4499.37,1847.27
beta_a10_b5_M200_L6_c1_2_test,1820.884382,1835.921564,1843.833368,1825.4,4479.36,1842.1
beta_a10_b5_M20_L6_c1_2_train,190.9149853,189.5803698,189.3477878,236.09,444.68,191.17
beta_a10_b5_M20_L6_c1_2_test,184.7075549,184.0380814,183.4137115,235.84,447.74,187.98
beta_a10_b5_M100_L6_c1_2_train,882.4714803,885.0781879,880.5984868,917.88,2223.03,896.84
beta_a10_b5_M100_L6_c1_2_test,915.1621027,916.3981382,912.4441526,945.01,2231.75,923.47
beta_a10_b2_M500_L6_c1_2_train,4069.771005,4172.517958,4070.54465,4063.95,12467.86,4172.52
beta_a10_b2_M500_L6_c1_2_test,4084.599867,4161.106682,4075.822248,4080.28,12565.54,4155.75
beta_a10_b2_M50_L6_c1_2_train,423.7328388,417.5688863,421.9682132,417.03,1252.16,423.95
beta_a10_b2_M50_L6_c1_2_test,420.9705502,414.3810983,416.9814914,411.45,1255.93,422.27
beta_a10_b2_M200_L6_c1_2_train,1646.979401,1685.56331,1645.201241,1677.51,5005.67,1685.75
beta_a10_b2_M200_L6_c1_2_test,1658.990264,1693.521037,1659.710328,1660.24,5031.23,1689.63
beta_a10_b2_M20_L6_c1_2_train,164.2242113,167.1437992,163.5642618,193.88,502.53,175.48
beta_a10_b2_M20_L6_c1_2_test,169.7908928,172.1145609,168.0962462,197.08,502.44,178.7
beta_a10_b2_M100_L6_c1_2_train,845.2680151,846.6175846,847.6415125,847.33,2527.72,855.77
beta_a10_b2_M100_L6_c1_2_test,820.0929552,831.4508507,824.418242,823.46,2513.61,842.69
beta_a10_b10_M500_L6_c1_2_train,4083.875965,4107.548402,4099.29496,4093.72,9053.92,4126.97
beta_a10_b10_M500_L6_c1_2_test,4101.542266,4102.208213,4103.923776,4095.01,8960.97,4139.7
beta_a10_b10_M50_L6_c1_2_train,409.3991822,409.5580471,407.2127335,436.21,900.38,408.68
beta_a10_b10_M50_L6_c1_2_test,413.5138132,425.7121808,410.0408948,445.2,903.22,423.66
beta_a10_b10_M200_L6_c1_2_train,1648.069341,1678.766539,1657.688709,1648.39,3617.09,1679.67
beta_a10_b10_M200_L6_c1_2_test,1673.470721,1694.134547,1681.47559,1673.71,3609.85,1693.65
beta_a10_b10_M20_L6_c1_2_train,171.7698408,172.4580303,169.7783892,185.98,366.23,170
beta_a10_b10_M20_L6_c1_2_test,168.8475307,168.0202705,165.2589804,178.82,361.43,165.86
beta_a10_b10_M100_L6_c1_2_train,836.9389566,834.4608079,828.4295206,828.91,1808.98,834.22
beta_a10_b10_M100_L6_c1_2_test,818.3064853,824.3609336,816.9151502,818.52,1802.85,824.39
beta_a10_b1_M500_L6_c1_2_train,3351.273743,3365.080019,3310.999576,3312.68,12638.63,3364.1
beta_a10_b1_M500_L6_c1_2_test,3387.497971,3460.810381,3340.496741,3342.31,12668.02,3461.26
beta_a10_b1_M50_L6_c1_2_train,366.0027764,346.2588862,347.1058149,359.53,1275.57,360.41
beta_a10_b1_M50_L6_c1_2_test,356.0916303,340.8468383,340.3507768,351.33,1266.41,359.61
beta_a10_b1_M200_L6_c1_2_train,1338.529482,1358.587312,1355.995707,1335.8,5076.15,1356.24
beta_a10_b1_M200_L6_c1_2_test,1361.8695,1396.08186,1394.536804,1353.85,5063.2,1394.64
beta_a10_b1_M20_L6_c1_2_train,141.8155946,164.3937633,143.1470736,188.61,507.96,155.11
beta_a10_b1_M20_L6_c1_2_test,142.0397846,165.406983,142.8828356,189.02,509.24,155.93
beta_a10_b1_M100_L6_c1_2_train,672.7091506,681.9432073,681.0500691,693.51,2529.36,684.04
beta_a10_b1_M100_L6_c1_2_test,693.5205821,707.877475,701.5971489,699.97,2537.14,696.91
beta_a10_b0p5_M500_L6_c1_2_train,2757.394826,2783.7027,2690.029677,2686.7,12486.56,2757.82
beta_a10_b0p5_M500_L6_c1_2_test,2716.577238,2740.188017,2649.239076,2584.97,12405.67,2716.86
beta_a10_b0p5_M50_L6_c1_2_train,260.4738163,283.9566515,259.305807,321.16,1238.8,274.01
beta_a10_b0p5_M50_L6_c1_2_test,262.5505392,285.5858633,261.4934878,322.4,1240.17,275.35
beta_a10_b0p5_M200_L6_c1_2_train,1061.683593,1088.078937,1059.020817,1048.13,4942.73,1076.38
beta_a10_b0p5_M200_L6_c1_2_test,1062.635876,1091.937962,1061.604891,1050.05,4960.17,1086.51
beta_a10_b0p5_M20_L6_c1_2_train,116.5597248,111.7026266,106.7993318,131.46,498.86,133.6
beta_a10_b0p5_M20_L6_c1_2_test,118.6773781,112.0449105,106.252482,132.79,499.03,131.8
beta_a10_b0p5_M100_L6_c1_2_train,538.0316627,558.3633395,524.4110785,541.89,2489,552.13
beta_a10_b0p5_M100_L6_c1_2_test,528.0666424,553.0815085,516.2534871,532.23,2475.88,543.92
beta_a1_b5_M500_L6_c1_2_train,4693.007478,4696.511806,4699.600108,4696.02,5907.41,4710.03
beta_a1_b5_M500_L6_c1_2_test,4722.922392,4720.904545,4748.387906,4729.52,5869.62,4727.91
beta_a1_b5_M50_L6_c1_2_train,476.2146508,476.1889159,476.3695739,476.45,587.77,477.38
beta_a1_b5_M50_L6_c1_2_test,470.3508256,470.1844627,470.469021,470.61,585.41,471.02
beta_a1_b5_M200_L6_c1_2_train,1851.820823,1855.028461,1850.09178,1867.25,2330.39,1854.57
beta_a1_b5_M200_L6_c1_2_test,1903.538033,1901.64385,1900.655293,1901.12,2361.09,1902.03
beta_a1_b5_M20_L6_c1_2_train,189.0049141,188.9137022,188.998276,221.88,236.42,191.44
beta_a1_b5_M20_L6_c1_2_test,191.9127014,192.3625141,192.0851636,223.35,237.57,192.05
beta_a1_b5_M100_L6_c1_2_train,980.1506175,980.1281064,979.9767162,979.03,1198.38,980.33
beta_a1_b5_M100_L6_c1_2_test,956.3461422,956.6760448,956.5618317,956.89,1181.63,957.17
beta_a1_b2_M500_L6_c1_2_train,8529.037082,8544.073641,8530.229027,8542.07,11386.66,8544.56
beta_a1_b2_M500_L6_c1_2_test,8552.699887,8564.915405,8552.698643,8531.1,11388.91,8564.56
beta_a1_b2_M50_L6_c1_2_train,835.2827093,833.7453611,833.5445803,863.86,1088.53,837.68
beta_a1_b2_M50_L6_c1_2_test,852.9275792,850.7022108,850.6772992,876.68,1107.11,854.14
beta_a1_b2_M200_L6_c1_2_train,3407.83107,3412.652506,3397.951087,3408.94,4386.04,3428.38
beta_a1_b2_M200_L6_c1_2_test,3398.0227,3402.877734,3397.797846,3391.97,4398.44,3406.27
beta_a1_b2_M20_L6_c1_2_train,347.6000039,347.4577345,346.7539196,349.31,454.66,357.98
beta_a1_b2_M20_L6_c1_2_test,341.2996999,343.919283,340.7416675,343.91,442.95,351.02
beta_a1_b2_M100_L6_c1_2_train,1688.510435,1691.538482,1688.508715,1710.08,2192.1,1689.89
beta_a1_b2_M100_L6_c1_2_test,1692.071209,1695.555676,1692.049581,1711.33,2197.24,1693.41
beta_a1_b10_M500_L6_c1_2_train,2641.279927,2642.079271,2639.119776,2651.01,3285.99,2651.43
beta_a1_b10_M500_L6_c1_2_test,2678.214857,2680.108712,2676.19252,2695.75,3272.47,2680.89
beta_a1_b10_M50_L6_c1_2_train,270.7591689,270.803737,270.5983416,298.86,333.6,275.82
beta_a1_b10_M50_L6_c1_2_test,270.3419766,270.4736951,269.6442259,297.39,328.83,275.41
beta_a1_b10_M200_L6_c1_2_train,1075.010747,1074.875969,1073.997911,1086.22,1325.26,1076.43
beta_a1_b10_M200_L6_c1_2_test,1083.978261,1082.751715,1080.999071,1088.52,1315.02,1085.11
beta_a1_b10_M20_L6_c1_2_train,109.0110655,109.1023282,109.0791428,130.89,131.99,109.12
beta_a1_b10_M20_L6_c1_2_test,110.3392937,110.5725057,110.5761503,134.89,135.71,110.31
beta_a1_b10_M100_L6_c1_2_train,531.3399436,532.5149902,530.170297,534.13,645.66,535.44
beta_a1_b10_M100_L6_c1_2_test,541.0841812,542.6910707,540.3851318,543.74,658.29,543.8
beta_a1_b1_M500_L6_c1_2_train,10852.35986,10858.10704,10834.51347,10836.51,15654.05,10876.39
beta_a1_b1_M500_L6_c1_2_test,11153.66025,11150.39567,11091.20282,11118.14,15859.91,11188.67
beta_a1_b1_M50_L6_c1_2_train,1129.473386,1129.19992,1126.232798,1144.15,1557.56,1130.56
beta_a1_b1_M50_L6_c1_2_test,1108.33614,1102.091431,1102.273698,1107.96,1520.27,1111.88
beta_a1_b1_M200_L6_c1_2_train,4323.056464,4338.891215,4322.131298,4325.14,5983.77,4375.98
beta_a1_b1_M200_L6_c1_2_test,4453.99178,4463.914502,4443.057467,4442.46,6103.94,4476.3
beta_a1_b1_M20_L6_c1_2_train,437.6343908,438.2243844,437.0932668,473.06,601.93,439.12
beta_a1_b1_M20_L6_c1_2_test,446.262772,447.7056727,443.6333254,475.91,610.35,450.62
beta_a1_b1_M100_L6_c1_2_train,2176.915018,2180.01045,2177.889658,2205.41,3052.93,2183.66
beta_a1_b1_M100_L6_c1_2_test,2221.02481,2222.404544,2216.554423,2230.58,3051.27,2236.04
beta_a1_b0p5_M500_L6_c1_2_train,11792.63836,11810.16249,11806.08909,11788.73,18372.87,11931.23
beta_a1_b0p5_M500_L6_c1_2_test,11952.05729,11941.50534,11925.31865,11936.45,18476.95,12045.49
beta_a1_b0p5_M50_L6_c1_2_train,1170.413852,1166.762766,1166.653437,1188.98,1770.18,1179.56
beta_a1_b0p5_M50_L6_c1_2_test,1204.312918,1193.562374,1198.000909,1227.04,1798.78,1209.94
beta_a1_b0p5_M200_L6_c1_2_train,4778.238071,4849.77834,4769.517287,4773.8,7171.73,4863.86
beta_a1_b0p5_M200_L6_c1_2_test,4849.094949,4868.196031,4836.679255,4844.6,7269.63,4883.94
beta_a1_b0p5_M20_L6_c1_2_train,476.9691223,480.0067691,477.3100307,491.25,718.95,482.16
beta_a1_b0p5_M20_L6_c1_2_test,487.8971506,498.2977054,488.8295298,499.68,722.24,501.67
beta_a1_b0p5_M100_L6_c1_2_train,2349.010182,2355.51243,2356.977262,2347.73,3623.68,2374.99
beta_a1_b0p5_M100_L6_c1_2_test,2412.925733,2410.975763,2421.148503,2400.09,3593.68,2429.38
beta_a0p5_b5_M500_L6_c1_2_train,3402.913236,3404.121935,3387.929235,3407.46,3746.58,3413.58
beta_a0p5_b5_M500_L6_c1_2_test,3400.495444,3404.629668,3397.803682,3388.83,3794.81,3392.3
beta_a0p5_b5_M50_L6_c1_2_train,338.2497066,338.8333292,337.9600257,366.33,378.72,338.39
beta_a0p5_b5_M50_L6_c1_2_test,341.9541468,342.6015518,341.7555055,368.42,382.95,341.41
beta_a0p5_b5_M200_L6_c1_2_train,1367.884163,1368.287189,1367.211712,1376.36,1534.78,1368.64
beta_a0p5_b5_M200_L6_c1_2_test,1357.108483,1359.007635,1357.151798,1370.72,1524.79,1358.2
beta_a0p5_b5_M20_L6_c1_2_train,140.7302316,140.7268774,140.2814821,157.91,157.81,146.04
beta_a0p5_b5_M20_L6_c1_2_test,141.3894037,141.3941089,141.1623875,155.9,155.9,146.17
beta_a0p5_b5_M100_L6_c1_2_train,663.6472861,663.9170277,663.5982917,676.56,742.23,664.55
beta_a0p5_b5_M100_L6_c1_2_test,683.4936309,683.3704129,683.0504711,693.11,772.39,683.52
beta_a0p5_b2_M500_L6_c1_2_train,6928.765256,6928.727925,6908.680074,6929.18,8275.79,6930
beta_a0p5_b2_M500_L6_c1_2_test,7074.60488,7075.553495,7062.41843,7077.7,8388.39,7077.52
beta_a0p5_b2_M50_L6_c1_2_train,718.0379142,716.821246,716.8229332,720.63,836.71,726.26
beta_a0p5_b2_M50_L6_c1_2_test,718.3909799,721.880714,719.1666609,716.71,821.34,717.49
beta_a0p5_b2_M200_L6_c1_2_train,2811.443445,2814.959017,2811.129033,2815.62,3305.03,2815.14
beta_a0p5_b2_M200_L6_c1_2_test,2827.987102,2831.175228,2824.957579,2828.56,3261.64,2830.03
beta_a0p5_b2_M20_L6_c1_2_train,290.2448194,290.3687658,290.4150104,320.62,335.25,290.36
beta_a0p5_b2_M20_L6_c1_2_test,285.6269904,285.8226524,285.3186421,314.29,328.72,285.4
beta_a0p5_b2_M100_L6_c1_2_train,1431.686201,1430.548658,1430.954097,1431.22,1657.77,1433.61
beta_a0p5_b2_M100_L6_c1_2_test,1419.925164,1418.686223,1418.166298,1418.32,1629.15,1420.16
beta_a0p5_b10_M500_L6_c1_2_train,1871.234836,1871.562766,1871.241311,1871.26,2098.29,1871.52
beta_a0p5_b10_M500_L6_c1_2_test,1801.742986,1803.087101,1802.123265,1801.75,2016.2,1803.07
beta_a0p5_b10_M50_L6_c1_2_train,182.1141646,181.7777361,181.9130141,200.16,201.33,182.35
beta_a0p5_b10_M50_L6_c1_2_test,184.0965383,183.6758805,184.1030013,203.8,204.95,183.46
beta_a0p5_b10_M200_L6_c1_2_train,726.0677091,726.0325567,726.1425351,736.94,813.58,726.03
beta_a0p5_b10_M200_L6_c1_2_test,733.4404044,733.4783448,733.6331086,741.14,818.13,733.48
beta_a0p5_b10_M20_L6_c1_2_train,78.33826191,78.31167795,78.31555115,82.61,82.61,90.48
beta_a0p5_b10_M20_L6_c1_2_test,79.91288001,79.81990177,79.99545618,83.8,83.8,91.01
beta_a0p5_b10_M100_L6_c1_2_train,350.6565093,350.787248,350.4361257,374.34,387.36,350.84
beta_a0p5_b10_M100_L6_c1_2_test,361.1403773,360.9067253,360.793141,387.2,403.26,360.54
beta_a0p5_b1_M500_L6_c1_2_train,10840.96793,10864.86759,10845.06866,10840.99,13792.45,10856.69
beta_a0p5_b1_M500_L6_c1_2_test,10747.30421,10754.72977,10729.7149,10753.01,13795.58,10753.48
beta_a0p5_b1_M50_L6_c1_2_train,1062.879405,1062.152593,1063.021,1062.41,1275.5,1063.47
beta_a0p5_b1_M50_L6_c1_2_test,1080.832198,1079.345085,1077.717268,1077.2,1284.72,1081.36
beta_a0p5_b1_M200_L6_c1_2_train,4307.355266,4310.695347,4309.116171,4315.59,5205.02,4333.55
beta_a0p5_b1_M200_L6_c1_2_test,4295.618637,4306.538588,4297.989317,4285.43,5128.59,4298.33
beta_a0p5_b1_M20_L6_c1_2_train,424.1067328,423.9326241,424.0179806,432.58,509.14,427.61
beta_a0p5_b1_M20_L6_c1_2_test,431.5061824,431.0734032,430.7156994,441.89,516.45,431.95
beta_a0p5_b1_M100_L6_c1_2_train,2225.144601,2226.172665,2212.680849,2224.87,2647.67,2251.01
beta_a0p5_b1_M100_L6_c1_2_test,2170.119221,2171.906195,2165.350974,2160.93,2568.87,2171.87
beta_a0p5_b0p5_M500_L6_c1_2_train,13539.81867,13567.13348,13503.25384,13539.16,18569.61,13577.32
beta_a0p5_b0p5_M500_L6_c1_2_test,13580.44166,13618.61207,13565.22896,13559.37,18594.67,13605.5
beta_a0p5_b0p5_M50_L6_c1_2_train,1391.826514,1391.670992,1389.958581,1408.13,1710.79,1406.87
beta_a0p5_b0p5_M50_L6_c1_2_test,1375.366194,1367.971674,1375.435289,1390.67,1740.92,1377.57
beta_a0p5_b0p5_M200_L6_c1_2_train,5459.554104,5463.016092,5442.404329,5462.31,6932.03,5537.92
beta_a0p5_b0p5_M200_L6_c1_2_test,5481.052529,5523.859396,5484.851344,5477.94,6948.18,5522.44
beta_a0p5_b0p5_M20_L6_c1_2_train,554.9788056,553.7848454,553.2154869,597.57,723.25,554.9
beta_a0p5_b0p5_M20_L6_c1_2_test,555.8235489,557.349538,553.9820742,585.66,697.8,556.14
beta_a0p5_b0p5_M100_L6_c1_2_train,2750.315367,2749.971737,2746.242481,2756.31,3467.28,2761.26
beta_a0p5_b0p5_M100_L6_c1_2_test,2754.824272,2756.407837,2744.592353,2751.01,3494.25,2767.31
