"LLM","problem","n_train","n_horizon","order_option","external_opt","iter_opt","param_loc","n_pop","mode","data_summary","algo_performance","demand_mean","dist","n_node","option","repeat_9","repeat_10","repeat_1","repeat_2","repeat_3","repeat_4","repeat_5","repeat_6","repeat_7","repeat_8"
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","no",80,"cost2_4_lt3_0","","","","","7629.84","7629.84","7629.84","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","no",80,"cost2_4_lt3_0","","","","","7561.51","7561.51","7561.51","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","no",80,"cost2_4_lt3_0","","","","","7629.84","7629.84","7629.84","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","no",80,"cost2_4_lt3_0","","","","","7561.51","7561.51","7561.51","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","no",80,"cost2_4_lt3_0","","","","","7629.84","7629.84","7629.84","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","no",80,"cost2_4_lt3_0","","","","","7561.51","7561.51","7561.51","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","processed",80,"cost2_4_lt3_0","","","","","14207.20","14207.20","9507.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","processed",80,"cost2_4_lt3_0","","","","","14139.63","14139.63","9439.69","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","processed",80,"cost2_4_lt3_0","","","","","7629.84","7629.84","4972.84","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","processed",80,"cost2_4_lt3_0","","","","","7561.51","7561.51","4891.83","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","processed",80,"cost2_4_lt3_0","","","","","3733.32","7629.84","3392.52","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","processed",80,"cost2_4_lt3_0","","","","","3688.26","7561.51","3376.46","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","processed",80,"cost2_4_lt3_0","","","","","3575.64","4972.84","3392.52","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","processed",80,"cost2_4_lt3_0","","","","","3569.65","4891.83","3376.46","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","processed",80,"cost2_4_lt3_0","","","","","3575.64","3324.64","3392.52","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","processed",80,"cost2_4_lt3_0","","","","","3569.65","3305.40","3376.46","","","","",""
