policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,beta_a19p8_b79p2_M500_L4_p10,train,3501.57,3340.98725,3645.542,ok_expanded,3501.57,"{""base_stock"": 423.1032860409306, ""safety_stock"": 28.964560828965507, ""pipeline_weight"": 0.847506392367899, ""smoothing_factor"": 0.07249845071543787, ""lost_sales_weight"": 1.329248801334453, ""demand_buffer"": 2.9954396558738323, ""min_order_threshold"": 0.001455798507627673}",
exponential_L6_c1_2,beta_a19p8_b79p2_M500_L4_p10,test,3405.587,3360.493175,3451.24525,ok_expanded,3501.57,"{""base_stock"": 423.1032860409306, ""safety_stock"": 28.964560828965507, ""pipeline_weight"": 0.847506392367899, ""smoothing_factor"": 0.07249845071543787, ""lost_sales_weight"": 1.329248801334453, ""demand_buffer"": 2.9954396558738323, ""min_order_threshold"": 0.001455798507627673}",
normal_std30_L6_c1_2,beta_a19p8_b79p2_M500_L4_p10,train,3411.13,3263.951,3534.9685,ok_expanded,3411.13,"{""base_stock"": 388.5388840221471, ""safety_stock"": 140.4787382042636, ""pipeline_weight"": 0.35235009861801153, ""demand_forecast"": 103.02081441392697, ""smoothing_factor"": 0.12615199130346974, ""forecast_weight"": 0.5877523580512958, ""adjustment_factor"": 0.38038703263358487, ""pipeline_discount"": 0.015085455336063076, ""min_order"": 6.744350044255227e-06}",
normal_std30_L6_c1_2,beta_a19p8_b79p2_M500_L4_p10,test,3340.442,3300.886675,3385.247925,ok_expanded,3411.13,"{""base_stock"": 388.5388840221471, ""safety_stock"": 140.4787382042636, ""pipeline_weight"": 0.35235009861801153, ""demand_forecast"": 103.02081441392697, ""smoothing_factor"": 0.12615199130346974, ""forecast_weight"": 0.5877523580512958, ""adjustment_factor"": 0.38038703263358487, ""pipeline_discount"": 0.015085455336063076, ""min_order"": 6.744350044255227e-06}",
poisson_L6_c1_2,beta_a19p8_b79p2_M500_L4_p10,train,3232.01,3120.462,3344.9764999999998,ok_expanded,3232.01,"{""safety_stock"": 27.280905341361745, ""demand_estimate"": 171.6724371767878, ""max_order"": 104.6839880926693}",
poisson_L6_c1_2,beta_a19p8_b79p2_M500_L4_p10,test,3172.792,3138.6971,3205.99055,ok_expanded,3232.01,"{""safety_stock"": 27.280905341361745, ""demand_estimate"": 171.6724371767878, ""max_order"": 104.6839880926693}",
exponential_L6_c1_2,beta_a1p275_b2p975_M500_L4_p10,train,17038.57,16465.78725,17697.93725,ok_expanded,17038.57,"{""base_stock"": 1734.4258068691406, ""safety_stock"": 231.7367272306052, ""pipeline_weight"": 0.9666666666666667, ""smoothing_factor"": 0.23784269991928103, ""lost_sales_weight"": 2.568039095112865, ""demand_buffer"": 0.24308576381398592, ""min_order_threshold"": 368.7747236283669}",
exponential_L6_c1_2,beta_a1p275_b2p975_M500_L4_p10,test,16375.502,16211.986700000001,16571.6154,ok_expanded,17038.57,"{""base_stock"": 1734.4258068691406, ""safety_stock"": 231.7367272306052, ""pipeline_weight"": 0.9666666666666667, ""smoothing_factor"": 0.23784269991928103, ""lost_sales_weight"": 2.568039095112865, ""demand_buffer"": 0.24308576381398592, ""min_order_threshold"": 368.7747236283669}",
normal_std30_L6_c1_2,beta_a1p275_b2p975_M500_L4_p10,train,17066.86,16452.45175,17755.36075,ok_expanded,17066.86,"{""base_stock"": 1355.9277982082804, ""safety_stock"": 0.011272990638026236, ""pipeline_weight"": 0.7777424466063556, ""demand_forecast"": 4.543227565546867e-05, ""smoothing_factor"": 0.17647788728219752, ""forecast_weight"": 0.7267620564366193, ""adjustment_factor"": 0.1, ""pipeline_discount"": 0.5222385721148, ""min_order"": 4.991034242115392}",
normal_std30_L6_c1_2,beta_a1p275_b2p975_M500_L4_p10,test,16395.909,16238.619275000001,16597.511,ok_expanded,17066.86,"{""base_stock"": 1355.9277982082804, ""safety_stock"": 0.011272990638026236, ""pipeline_weight"": 0.7777424466063556, ""demand_forecast"": 4.543227565546867e-05, ""smoothing_factor"": 0.17647788728219752, ""forecast_weight"": 0.7267620564366193, ""adjustment_factor"": 0.1, ""pipeline_discount"": 0.5222385721148, ""min_order"": 4.991034242115392}",
poisson_L6_c1_2,beta_a1p275_b2p975_M500_L4_p10,train,16925.69,16360.75425,17636.844500000003,ok,16925.69,"{""safety_stock"": 460.3758116752905, ""demand_estimate"": 165.72151171375782, ""max_order"": 172.96321882075307}",
