dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
negbin_r2p28426_p0p015_L6_p2_train,6534.3,6551.19,6546.61
negbin_r2p28426_p0p015_L6_p2_test,6673.807,6635.305,6649.717
negbin_r2p31959_p0p03_L6_p2_train,3359.68,3353.08,3359.13
negbin_r2p31959_p0p03_L6_p2_test,3359.363,3358.071,3363.753
negbin_r2p94118_p0p0555556_L6_p2_train,2092.95,2090.49,2090.79
negbin_r2p94118_p0p0555556_L6_p2_test,2022.451,2022.395,2025.363
negbin_r30_p0p166667_L6_p2_train,2126.45,2137.76,2137.76
negbin_r30_p0p166667_L6_p2_test,2197.988,2206.888,2206.888
negbin_r33p3333_p0p25_L6_p2_train,1438.56,1439.74,1448.1
negbin_r33p3333_p0p25_L6_p2_test,1465.568,1467.438,1456.038
negbin_r4p16667_p0p04_L6_p2_train,3575.75,3557.34,3560.89
negbin_r4p16667_p0p04_L6_p2_test,3476.75,3471.027,3466.928
negbin_r50_p0p5_L6_p2_train,728.7,726.65,731.14
negbin_r50_p0p5_L6_p2_test,739.104,736.364,737.252
negbin_r56p8182_p0p3125_L6_p2_train,1501.62,1493.03,1497.29
negbin_r56p8182_p0p3125_L6_p2_test,1489.534,1483.864,1488.466
negbin_r6p57895_p0p05_L6_p2_train,3451.16,3451.49,3439.87
negbin_r6p57895_p0p05_L6_p2_test,3540.856,3538.004,3538.736
negbin_r6p81818_p0p0833333_L6_p2_train,2095.56,2092.78,2092.26
negbin_r6p81818_p0p0833333_L6_p2_test,2132.601,2134.293,2136.791
negbin_r7p14286_p0p125_L6_p2_train,1432.34,1432.9,1437.63
negbin_r7p14286_p0p125_L6_p2_test,1413.739,1417.937,1412.127
negbin_r90_p0p375_L6_p2_train,1541.51,1539.79,1655.98
negbin_r90_p0p375_L6_p2_test,1488.256,1472.651,1622.933
negbin_r99900_p0p999_L6_p2_train,756.88,757.2,757.81
negbin_r99900_p0p999_L6_p2_test,753.532,755.175,751.191
negbin_r9p57447_p0p06_L6_p2_train,3616.57,3610.63,3609.5
negbin_r9p57447_p0p06_L6_p2_test,3555.268,3556.748,3563.664
normal_mu100_sd100_L6_p2_train,6201.67,6198.87,6227.73
normal_mu100_sd100_L6_p2_test,6298.836,6288.232,6299.288
normal_mu100_sd10_L6_p2_train,732.59,740.69,728.23
normal_mu100_sd10_L6_p2_test,758.542,767.704,754.558
normal_mu100_sd20_L6_p2_train,1531.01,1531.66,1545.5
normal_mu100_sd20_L6_p2_test,1504.072,1526.83,1521.5
normal_mu100_sd30_L6_p2_train,2273.36,2266.23,2272.02
normal_mu100_sd30_L6_p2_test,2264.367,2270.876,2268.909
normal_mu100_sd50_L6_p2_train,3804.47,3795.49,3810.25
normal_mu100_sd50_L6_p2_test,3668.127,3664.248,3659.352
normal_mu125_sd100_L6_p2_train,6807.6,6791.79,6812.55
normal_mu125_sd100_L6_p2_test,6738.277,6690.073,6746.77
normal_mu125_sd10_L6_p2_train,753.74,753.95,753.95
normal_mu125_sd10_L6_p2_test,754.622,755.344,755.344
normal_mu125_sd20_L6_p2_train,1525.47,1458.47,1459.97
normal_mu125_sd20_L6_p2_test,1562.485,1516.18,1518.23
normal_mu125_sd30_L6_p2_train,2225.31,2222.69,2231.16
normal_mu125_sd30_L6_p2_test,2254.165,2251.884,2255.754
normal_mu125_sd50_L6_p2_train,3718.64,3720.89,3724.45
normal_mu125_sd50_L6_p2_test,3691.954,3693.409,3689.022
normal_mu150_sd100_L6_p2_train,7021.15,7010.74,6974.72
normal_mu150_sd100_L6_p2_test,7004.039,7030.792,7001.47
normal_mu150_sd10_L6_p2_train,773.06,773.06,786.66
normal_mu150_sd10_L6_p2_test,768.138,768.138,770.107
normal_mu150_sd20_L6_p2_train,1457.42,1456.39,1543.97
normal_mu150_sd20_L6_p2_test,1504.647,1502.457,1585.988
normal_mu150_sd30_L6_p2_train,2354.43,2342.46,2320.74
normal_mu150_sd30_L6_p2_test,2269.523,2276.063,2259.38
normal_mu150_sd50_L6_p2_train,3890.16,3891.81,3866.46
normal_mu150_sd50_L6_p2_test,3741.502,3744.243,3737.43
normal_mu50_sd100_L6_p2_train,5155.27,5155.06,5151.75
normal_mu50_sd100_L6_p2_test,5193.921,5195.716,5212.099
normal_mu50_sd10_L6_p2_train,755.01,753.93,759.78
normal_mu50_sd10_L6_p2_test,750.221,750.32,755.163
normal_mu50_sd20_L6_p2_train,1470.46,1470.14,1472.87
normal_mu50_sd20_L6_p2_test,1495.871,1493.393,1485.467
normal_mu50_sd30_L6_p2_train,2145.43,2144.76,2158.24
normal_mu50_sd30_L6_p2_test,2137.075,2141.33,2138.022
normal_mu50_sd50_L6_p2_train,3165.32,3154.45,3158.09
normal_mu50_sd50_L6_p2_test,3153.992,3160.112,3150.942
normal_mu75_sd100_L6_p2_train,5646.12,5640.03,5678.64
normal_mu75_sd100_L6_p2_test,5787.354,5766.02,5779.871
normal_mu75_sd10_L6_p2_train,756.57,751.93,756.07
normal_mu75_sd10_L6_p2_test,763.669,763.788,762.765
normal_mu75_sd20_L6_p2_train,1485.18,1487.3,1484.52
normal_mu75_sd20_L6_p2_test,1504.701,1499.334,1508.638
normal_mu75_sd30_L6_p2_train,2166.88,2164.64,2171.97
normal_mu75_sd30_L6_p2_test,2269.811,2271.975,2276.618
normal_mu75_sd50_L6_p2_train,3429.3,3429.8,3428.01
normal_mu75_sd50_L6_p2_test,3502.511,3500.634,3493.87
pareto_a11p0499_xm90p9501_L6_p2_train,590.14,585.28,582.89
pareto_a11p0499_xm90p9501_L6_p2_test,585.63,578.904,578.264
pareto_a13p5399_xm115p768_L6_p2_train,600.28,597.84,597.84
pareto_a13p5399_xm115p768_L6_p2_test,592.479,591.178,591.163
pareto_a16p0333_xm140p644_L6_p2_train,620.2,613.32,613.32
pareto_a16p0333_xm140p644_L6_p2_test,602.555,594.478,594.478
pareto_a2p11803_xm26p3932_L6_p2_train,1768.55,1766.74,1768.46
pareto_a2p11803_xm26p3932_L6_p2_test,1792.924,1792.149,1793.187
pareto_a2p25_xm41p6667_L6_p2_train,2373.17,2369.18,2395.82
pareto_a2p25_xm41p6667_L6_p2_test,2453.318,2451.327,2473.86
pareto_a2p41421_xm29p2893_L6_p2_train,1593.88,1590.08,1592.7
