dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
binom_n100_p0p1_L6_p4_test,334.889,332.856,337.541
binom_n100_p0p2_L6_p4_train,434.95,435.87,443.62
binom_n100_p0p2_L6_p4_test,444.918,448.703,457.485
binom_n100_p0p3_L6_p4_train,537.78,507.45,566.77
binom_n100_p0p3_L6_p4_test,536.707,506.335,556.931
binom_n100_p0p5_L6_p4_train,560.96,547.55,538.22
binom_n100_p0p5_L6_p4_test,568.918,556.833,551.756
binom_n100_p0p7_L6_p4_train,547.28,516.88,547.28
binom_n100_p0p7_L6_p4_test,555.575,532.52,555.575
binom_n100_p0p95_L6_p4_train,258.75,258.57,253.22
binom_n100_p0p95_L6_p4_test,265.666,265.771,257.975
binom_n100_p0p9_L6_p4_train,352.74,351.63,351.63
binom_n100_p0p9_L6_p4_test,344.792,345.602,345.602
binom_n200_p0p05_L6_p4_train,345.69,344.92,348.28
binom_n200_p0p05_L6_p4_test,345.146,345.497,347.229
binom_n200_p0p1_L6_p4_train,481.46,482.51,482.4
binom_n200_p0p1_L6_p4_test,467.034,470.181,474.679
binom_n200_p0p2_L6_p4_train,649.0,651.65,656.29
binom_n200_p0p2_L6_p4_test,630.147,635.895,638.265
binom_n200_p0p3_L6_p4_train,718.98,720.95,726.42
binom_n200_p0p3_L6_p4_test,724.659,724.257,733.015
binom_n200_p0p5_L6_p4_train,856.05,826.9,950.2
binom_n200_p0p5_L6_p4_test,844.837,801.054,956.816
binom_n200_p0p7_L6_p4_train,822.4,744.8,907.11
binom_n200_p0p7_L6_p4_test,841.893,749.221,929.079
binom_n200_p0p95_L6_p4_train,753.93,436.79,429.16
binom_n200_p0p95_L6_p4_test,753.839,432.73,420.732
binom_n200_p0p9_L6_p4_train,872.06,486.81,519.94
binom_n200_p0p9_L6_p4_test,883.745,485.025,527.146
binom_n20_p0p05_L6_p4_train,106.23,106.23,106.23
binom_n20_p0p05_L6_p4_test,104.959,104.959,104.959
binom_n20_p0p1_L6_p4_train,149.55,149.55,151.34
binom_n20_p0p1_L6_p4_test,146.101,146.101,149.06
binom_n20_p0p2_L6_p4_train,194.9,194.85,199.08
binom_n20_p0p2_L6_p4_test,194.972,195.366,197.684
binom_n20_p0p3_L6_p4_train,224.66,223.81,225.92
binom_n20_p0p3_L6_p4_test,230.035,230.293,230.417
binom_n20_p0p5_L6_p4_train,264.21,259.67,258.78
binom_n20_p0p5_L6_p4_test,256.624,255.429,253.652
binom_n20_p0p7_L6_p4_train,232.01,230.63,230.22
binom_n20_p0p7_L6_p4_test,237.99,236.56,232.228
binom_n20_p0p95_L6_p4_train,125.07,125.45,137.55
binom_n20_p0p95_L6_p4_test,121.997,124.526,136.662
binom_n20_p0p9_L6_p4_train,153.94,165.31,172.75
binom_n20_p0p9_L6_p4_test,153.506,167.122,174.968
binom_n400_p0p05_L6_p4_train,489.53,492.29,492.25
binom_n400_p0p05_L6_p4_test,482.647,483.653,486.347
binom_n400_p0p1_L6_p4_train,685.84,684.4,693.76
binom_n400_p0p1_L6_p4_test,669.711,674.681,681.825
binom_n400_p0p2_L6_p4_train,955.78,916.18,907.93
binom_n400_p0p2_L6_p4_test,916.368,895.122,884.323
binom_n400_p0p3_L6_p4_train,1012.17,1012.65,1002.24
binom_n400_p0p3_L6_p4_test,1046.885,1045.951,1031.992
binom_n400_p0p5_L6_p4_train,1145.06,1151.17,1151.42
binom_n400_p0p5_L6_p4_test,1122.708,1132.67,1136.42
binom_n400_p0p7_L6_p4_train,1809.73,1049.85,1843.08
binom_n400_p0p7_L6_p4_test,1801.118,1043.825,1861.814
binom_n400_p0p95_L6_p4_train,792.27,681.19,2028.08
binom_n400_p0p95_L6_p4_test,777.087,673.132,2053.451
binom_n400_p0p9_L6_p4_train,765.11,751.87,794.02
binom_n400_p0p9_L6_p4_test,759.704,727.247,748.401
binom_n50_p0p05_L6_p4_train,161.53,161.12,162.79
binom_n50_p0p05_L6_p4_test,167.51,166.386,167.89
binom_n50_p0p1_L6_p4_train,226.34,227.67,233.96
binom_n50_p0p1_L6_p4_test,237.109,238.015,237.692
binom_n50_p0p2_L6_p4_train,320.59,319.64,323.31
binom_n50_p0p2_L6_p4_test,315.419,314.515,317.937
binom_n50_p0p3_L6_p4_train,362.95,359.36,365.08
binom_n50_p0p3_L6_p4_test,356.22,360.576,362.363
binom_n50_p0p5_L6_p4_train,376.87,377.27,381.1
binom_n50_p0p5_L6_p4_test,390.822,393.047,395.363
binom_n50_p0p7_L6_p4_train,381.28,368.41,371.68
binom_n50_p0p7_L6_p4_test,371.618,362.255,366.617
binom_n50_p0p95_L6_p4_train,174.04,176.66,178.23
binom_n50_p0p95_L6_p4_test,177.378,179.206,181.714
binom_n50_p0p9_L6_p4_train,262.51,252.42,262.5
binom_n50_p0p9_L6_p4_test,267.155,257.297,266.879
binom_n800_p0p05_L6_p4_train,713.25,713.65,723.27
binom_n800_p0p05_L6_p4_test,685.377,687.715,709.851
binom_n800_p0p1_L6_p4_train,973.0,949.25,926.32
binom_n800_p0p1_L6_p4_test,986.029,962.384,939.491
binom_n800_p0p2_L6_p4_train,1346.82,1271.71,1293.0
binom_n800_p0p2_L6_p4_test,1366.846,1305.875,1295.692
binom_n800_p0p3_L6_p4_train,1424.56,1430.8,1492.05
binom_n800_p0p3_L6_p4_test,1453.907,1478.503,1508.067
binom_n800_p0p5_L6_p4_train,1588.9,1601.65,2400.45
binom_n800_p0p5_L6_p4_test,1615.092,1627.102,2373.027
binom_n800_p0p7_L6_p4_train,1462.93,1840.57,2557.45
binom_n800_p0p7_L6_p4_test,1469.559,1833.108,2594.188
binom_n800_p0p95_L6_p4_train,3115.81,760.32,1080.71
binom_n800_p0p95_L6_p4_test,3104.764,772.153,1122.938
binom_n800_p0p9_L6_p4_train,1001.45,982.75,1442.86
binom_n800_p0p9_L6_p4_test,1012.059,979.581,1556.191
cunif_a0_b100_L6_p4_train,3209.94,3212.16,3226.86
cunif_a0_b100_L6_p4_test,3287.52,3276.566,3269.888
cunif_a0_b200_L6_p4_train,6473.92,6481.76,6437.88
cunif_a0_b200_L6_p4_test,6507.16,6510.006,6512.37
cunif_a0_b400_L6_p4_train,13159.86,13158.19,13183.96
cunif_a0_b400_L6_p4_test,13072.838,13156.969,13124.224
cunif_a0_b50_L6_p4_train,1651.37,1651.36,1658.24
cunif_a0_b50_L6_p4_test,1613.964,1616.323,1616.638
cunif_a0_b800_L6_p4_train,26383.93,26321.24,26406.12
cunif_a0_b800_L6_p4_test,26183.037,26192.192,26023.419
cunif_a10_b100_L6_p4_train,2976.63,2970.5,2983.4
cunif_a10_b100_L6_p4_test,2983.456,2965.138,2957.063
cunif_a10_b200_L6_p4_train,6182.49,6166.14,6087.16
cunif_a10_b200_L6_p4_test,6374.095,6293.673,6242.296
cunif_a10_b400_L6_p4_train,13135.28,13064.35,13018.94
cunif_a10_b400_L6_p4_test,12821.748,12763.651,12786.822
cunif_a10_b50_L6_p4_train,1321.71,1322.1,1356.51
cunif_a10_b50_L6_p4_test,1305.197,1312.1,1351.403
cunif_a10_b800_L6_p4_train,25854.56,25847.05,25759.37
cunif_a10_b800_L6_p4_test,25789.892,25775.642,25731.776
cunif_a20_b100_L6_p4_train,2681.34,2649.45,2643.78
cunif_a20_b100_L6_p4_test,2636.16,2628.566,2608.259
cunif_a20_b200_L6_p4_train,5816.39,5817.11,5814.41
cunif_a20_b200_L6_p4_test,5979.415,5953.704,5951.274
cunif_a20_b400_L6_p4_train,12484.41,12516.74,12528.55
cunif_a20_b400_L6_p4_test,12497.056,12522.117,12486.399
cunif_a20_b50_L6_p4_train,982.64,980.74,991.44
cunif_a20_b50_L6_p4_test,992.97,987.771,991.746
cunif_a20_b800_L6_p4_train,25551.92,25554.2,25498.16
cunif_a20_b800_L6_p4_test,25188.591,25206.848,25148.358
cunif_a50_b100_L6_p4_train,1659.23,1657.65,1662.03
cunif_a50_b100_L6_p4_test,1644.046,1632.136,1662.883
cunif_a50_b200_L6_p4_train,4814.06,4825.43,4806.11
cunif_a50_b200_L6_p4_test,4966.307,4954.554,4863.666
cunif_a50_b400_L6_p4_train,11556.34,11584.85,11509.32
cunif_a50_b400_L6_p4_test,11506.045,11587.056,11489.132
cunif_a50_b800_L6_p4_train,24304.5,24298.28,24354.37
cunif_a50_b800_L6_p4_test,24585.856,24615.526,24524.285
dunif_L0_H100_L6_p4_train,3380.98,3378.49,3376.57
dunif_L0_H100_L6_p4_test,3268.804,3264.271,3276.0
dunif_L0_H200_L6_p4_train,6595.4,6601.07,6572.26
dunif_L0_H200_L6_p4_test,6636.263,6639.433,6578.847
dunif_L0_H20_L6_p4_train,689.9,692.05,703.73
dunif_L0_H20_L6_p4_test,680.641,688.11,696.568
dunif_L0_H400_L6_p4_train,12676.27,12604.41,12505.21
dunif_L0_H400_L6_p4_test,13322.354,13215.143,13169.078
dunif_L0_H50_L6_p4_train,1635.86,1635.35,1641.65
dunif_L0_H50_L6_p4_test,1673.182,1676.171,1675.311
dunif_L0_H800_L6_p4_train,26524.41,26558.78,26810.54
dunif_L0_H800_L6_p4_test,26079.814,26101.991,26147.49
dunif_L10_H100_L6_p4_train,2971.24,2965.3,2940.09
dunif_L10_H100_L6_p4_test,3011.909,2990.455,2984.558
dunif_L10_H200_L6_p4_train,6556.0,6498.22,6477.34
dunif_L10_H200_L6_p4_test,6246.351,6234.221,6248.058
dunif_L10_H20_L6_p4_train,355.39,345.8,347.62
dunif_L10_H20_L6_p4_test,365.124,360.541,362.754
dunif_L10_H400_L6_p4_train,12538.72,12526.01,12502.31
dunif_L10_H400_L6_p4_test,12740.681,12758.316,12767.603
dunif_L10_H50_L6_p4_train,1387.24,1384.87,1413.07
dunif_L10_H50_L6_p4_test,1340.973,1335.319,1361.601
dunif_L10_H800_L6_p4_train,25855.03,25767.34,25852.43
dunif_L10_H800_L6_p4_test,25840.605,25723.927,25762.002
dunif_L20_H100_L6_p4_train,2631.15,2628.91,2629.23
